username;view_count;like_count;comment_count;save_count;engagement_rate_influencer
katelynrosebrown;20371200.0;1570500.0;7165.0;16585.0;51.05410273972603
katiavlogss;15200000.0;1501000.0;6358.0;59076.0;12.024577222222222
katiessigmond;46125800.0;5277500.0;25632.0;231118.0;57.14871052631579
katjakrasavice;3692200.0;454700.0;17087.0;21238.0;18.079491379310344
kaykai_ntch;3422400.0;501100.0;1684.0;11463.0;14.496474878048781
kaylamalecc;107105100.0;12644800.0;89903.0;455030.0;29.203951710526315
keemokazi;423514900.0;47112600.0;298465.0;3158946.0;117.14307775
kehlani;11100000.0;1598700.0;9280.0;74522.0;18.34341294117647
keirariff;48522600.0;10354200.0;47460.0;668717.0;55.42019923076923
keisyaleprongka;36572500.0;2580753.0;12278.0;107404.0;58.45490914285714
kekepalmer;792200.0;61163.0;338.0;1380.0;53.694743446327685
kemaluandemam;31870000.0;2683400.0;88239.0;178266.0;364.9947228144989
keniaos;20400000.0;3408000.0;36203.0;135600.0;18.114329764705882
kenti.best.boi;15188900.0;3092400.0;26797.0;237900.0;38.314709516129035
kervo.dolo;204300000.0;30900000.0;161600.0;1446800.0;2821.836385836386
kessel_nathan_official;6179400.0;651300.0;2400.0;46996.0;15.52541806451613
ketnipz;4921200.0;741900.0;1921.0;46522.0;46.65888282051282
khaby.lame;29608700.0;2118800.0;35319.0;69838.0;81.76753631355932
khairulaming;36200000.0;2858700.0;23248.0;460437.0;13.01578962264151
kieram.litchfield;86803047.0;9600276.0;54308.0;960033.0;29.748927887323944
kikakiim;6229600.0;530200.0;2017.0;46057.0;16.806865952380953
kimandnorth;41400000.0;4650900.0;0.0;105881.0;140.92665197530863
kimberly.loaiza;96200000.0;7934300.0;86000.0;392000.0;52.2565
kingbach;23503100.0;4863100.0;5682.0;235061.0;82.153426
kingrolluss;31325210.0;5571692.0;83050.0;176541.0;66.12723083333333
knzymyln__;91396300.0;4499565.0;26576.0;407887.0;25.96807911564626
koharotvreal;58331100.0;5228700.0;33439.0;136341.0;46.45189677419355
korean.comic;21531600.0;2342600.0;27142.0;454890.0;73.60523249872253
kpifthatscool;13884100.0;2471000.0;17986.0;58900.0;72.307495
kristy.sarah;249569700.0;34730800.0;137784.0;2345615.0;10958834.391304348
krizzsolano;3588948.0;460760.0;2230.0;52691.0;19.162644696132595
krysandkareem;255069900.0;23042500.0;110966.0;724006.0;38.865853076923074
kukombo;177001300.0;30535400.0;252022.0;1852918.0;20.621148815165878
kulinaria.recetas;85100000.0;13200000.0;54814.0;2120000.0;57.874896666666665
kunaguero;6265100.0;772200.0;3474.0;32579.0;34.29479588235294
kyliejenner;41300000.0;5580000.0;83739.0;191600.0;21.505459347826086
la_lerma;8428400.0;1168400.0;4216.0;68351.0;30.46228230769231
ladydianka;4626000.0;487800.0;5529.0;33283.0;15.094575714285714
